
Host: G5

Timers On : Sun Mar 12 00:00:01 2023
Timers Off: Sun Mar 12 00:00:06 2023

Wall Time:        4.56 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form C                          :      0.000u      0.000s      0.026w     56 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.138w      4 calls
Grad: S                             :      0.000u      0.000s      0.000w      4 calls
Grad: JK                            :      0.000u      0.000s      0.203w      4 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.058w      4 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.013w      4 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      4 calls
| JKGrad: AB                        :      0.000u      0.000s      0.024w      4 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      4 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      4 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.012w      4 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      4 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.065w      4 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.012w      4 calls
Grad: XC                            :      0.000u      0.000s      0.000w      4 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.000u      0.000s      0.348w      1 calls
Hess: T                             :      0.000u      0.000s      0.000w      1 calls
Hess: S                             :      0.000u      0.000s      0.000w      1 calls
Hess: JK                            :      0.000u      0.000s      0.187w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      3 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.004w      3 calls
JK: D                               :      0.000u      0.000s      0.000w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :      0.000u      0.000s      0.015w     13 calls
| DFH: compute_JK()                 :      0.000u      0.000s      0.015w     13 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     13 calls
| | DFH: compute_J                  :      0.000u      0.000s      0.003w     13 calls
| | DFH: compute_K                  :      0.000u      0.000s      0.011w     13 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls

**************************************************************************************

Host: G5

Timers On : Mon May  1 21:50:56 2023
Timers Off: Mon May  1 21:51:02 2023

Wall Time:        5.91 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
SAPT: Dimer SCF                     :      0.000u      0.000s      1.207w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.178w     11 calls
JK: (A|mn)                          :      0.000u      0.000s      0.094w      1 calls
JK: (A|Q)^-1/2                      :      0.000u      0.000s      0.063w      1 calls
JK: (Q|mn)                          :      0.000u      0.000s      0.045w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.063w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w      3 calls
HF: Guess                           :      0.000u      0.000s      0.133w      3 calls
SAD Guess                           :      0.000u      0.000s      0.129w      3 calls
HF: Form G                          :      0.000u      0.000s      0.874w     31 calls
JK: D                               :      0.000u      0.000s      0.001w     31 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     31 calls
JK: JK                              :      0.000u      0.000s      0.871w     31 calls
JK: J                               :      0.000u      0.000s      0.066w     31 calls
JK: J1                              :      0.000u      0.000s      0.032w     31 calls
JK: J2                              :      0.000u      0.000s      0.032w     31 calls
JK: K                               :      0.000u      0.000s      0.774w     31 calls
JK: K1                              :      0.000u      0.000s      0.692w     31 calls
JK: K2                              :      0.000u      0.000s      0.081w     31 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     31 calls
HF: Form F                          :      0.000u      0.000s      0.001w     31 calls
HF: Form D                          :      0.000u      0.000s      0.000w     31 calls
HF: DIIS                            :      0.000u      0.000s      0.061w     28 calls
DIISManager::add_entry              :      0.000u      0.000s      0.011w     28 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.011w     28 calls
bMatrix setup                       :      0.000u      0.000s      0.006w     28 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     28 calls
New vector                          :      0.000u      0.000s      0.004w     28 calls
HF: Form C                          :      0.000u      0.000s      0.048w     28 calls
SAPT: Monomer A SCF                 :      0.000u      0.000s      0.858w      1 calls
SAPT: Monomer B SCF                 :      0.000u      0.000s      0.956w      1 calls
SAPT0: DF Integrals                 :      0.000u      0.000s      0.415w      1 calls
SAPT0: W Integrals                  :      0.000u      0.000s      0.003w      1 calls
SAPT0: Elst10                       :      0.000u      0.000s      0.000w      1 calls
SAPT0: Exch10                       :      0.000u      0.000s      0.008w      1 calls
SAPT0: Exch10 S^2                   :      0.000u      0.000s      0.001w      1 calls
SAPT0: Ind20                        :      0.000u      0.000s      0.269w      1 calls
SAPT0: Exch-Ind20                   :      0.000u      0.000s      0.054w      1 calls
SAPT0: Exch-Disp20 N^5              :      0.000u      0.000s      0.109w      1 calls
SAPT0: Exch-Disp20 N^4              :      0.000u      0.000s      0.242w      1 calls

--------------------------------------------------------------------------------------
SAPT: Dimer SCF                     :      0.000u      0.000s      1.207w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.062w      2 calls
| JK: (A|mn)                        :      0.000u      0.000s      0.094w      1 calls
| JK: (A|Q)^-1/2                    :      0.000u      0.000s      0.063w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JK: (Q|mn)                        :      0.000u      0.000s      0.045w      1 calls
| HF: Form core H                   :      0.000u      0.000s      0.022w      1 calls
| HF: Form S/X                      :      0.000u      0.000s      0.001w      1 calls
| HF: Guess                         :      0.000u      0.000s      0.050w      1 calls
| | SAD Guess                       :      0.000u      0.000s      0.048w      1 calls
| HF: Form G                        :      0.000u      0.000s      0.319w     11 calls
| | JK: D                           :      0.000u      0.000s      0.000w     11 calls
| | JK: USO2AO                      :      0.000u      0.000s      0.000w     11 calls
| | JK: JK                          :      0.000u      0.000s      0.318w     11 calls
| | | JK: J                         :      0.000u      0.000s      0.024w     11 calls
| | | | JK: J1                      :      0.000u      0.000s      0.012w     11 calls
| | | | JK: J2                      :      0.000u      0.000s      0.012w     11 calls
| | | JK: K                         :      0.000u      0.000s      0.279w     11 calls
| | | | JK: K1                      :      0.000u      0.000s      0.236w     11 calls
| | | | JK: K2                      :      0.000u      0.000s      0.042w     11 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     11 calls
| HF: Form F                        :      0.000u      0.000s      0.000w     11 calls
| HF: Form D                        :      0.000u      0.000s      0.000w     11 calls
| HF: DIIS                          :      0.000u      0.000s      0.022w     10 calls
| | DIISManager::add_entry          :      0.000u      0.000s      0.004w     10 calls
| | DIISManager::extrapolate        :      0.000u      0.000s      0.004w     10 calls
| | | bMatrix setup                 :      0.000u      0.000s      0.002w     10 calls
| | | bMatrix pseudoinverse         :      0.000u      0.000s      0.000w     10 calls
| | | New vector                    :      0.000u      0.000s      0.002w     10 calls
| HF: Form C                        :      0.000u      0.000s      0.016w     10 calls
SAPT: Monomer A SCF                 :      0.000u      0.000s      0.858w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.039w      2 calls
| HF: Form core H                   :      0.000u      0.000s      0.020w      1 calls
| HF: Form S/X                      :      0.000u      0.000s      0.001w      1 calls
| HF: Guess                         :      0.000u      0.000s      0.036w      1 calls
| | SAD Guess                       :      0.000u      0.000s      0.035w      1 calls
| HF: Form G                        :      0.000u      0.000s      0.258w     10 calls
| | JK: D                           :      0.000u      0.000s      0.000w     10 calls
| | JK: USO2AO                      :      0.000u      0.000s      0.000w     10 calls
| | JK: JK                          :      0.000u      0.000s      0.257w     10 calls
| | | JK: J                         :      0.000u      0.000s      0.020w     10 calls
| | | | JK: J1                      :      0.000u      0.000s      0.009w     10 calls
| | | | JK: J2                      :      0.000u      0.000s      0.010w     10 calls
| | | JK: K                         :      0.000u      0.000s      0.229w     10 calls
| | | | JK: K1                      :      0.000u      0.000s      0.209w     10 calls
| | | | JK: K2                      :      0.000u      0.000s      0.020w     10 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     10 calls
| HF: Form F                        :      0.000u      0.000s      0.000w     10 calls
| HF: Form D                        :      0.000u      0.000s      0.000w     10 calls
| HF: DIIS                          :      0.000u      0.000s      0.021w      9 calls
| | DIISManager::add_entry          :      0.000u      0.000s      0.004w      9 calls
| | DIISManager::extrapolate        :      0.000u      0.000s      0.004w      9 calls
| | | bMatrix setup                 :      0.000u      0.000s      0.002w      9 calls
| | | bMatrix pseudoinverse         :      0.000u      0.000s      0.000w      9 calls
| | | New vector                    :      0.000u      0.000s      0.001w      9 calls
| HF: Form C                        :      0.000u      0.000s      0.016w      9 calls
SAPT: Monomer B SCF                 :      0.000u      0.000s      0.956w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.037w      2 calls
| HF: Form core H                   :      0.000u      0.000s      0.021w      1 calls
| HF: Form S/X                      :      0.000u      0.000s      0.001w      1 calls
| HF: Guess                         :      0.000u      0.000s      0.047w      1 calls
| | SAD Guess                       :      0.000u      0.000s      0.046w      1 calls
| HF: Form G                        :      0.000u      0.000s      0.297w     10 calls
| | JK: D                           :      0.000u      0.000s      0.000w     10 calls
| | JK: USO2AO                      :      0.000u      0.000s      0.000w     10 calls
| | JK: JK                          :      0.000u      0.000s      0.296w     10 calls
| | | JK: J                         :      0.000u      0.000s      0.022w     10 calls
| | | | JK: J1                      :      0.000u      0.000s      0.011w     10 calls
| | | | JK: J2                      :      0.000u      0.000s      0.011w     10 calls
| | | JK: K                         :      0.000u      0.000s      0.266w     10 calls
| | | | JK: K1                      :      0.000u      0.000s      0.247w     10 calls
| | | | JK: K2                      :      0.000u      0.000s      0.019w     10 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     10 calls
| HF: Form F                        :      0.000u      0.000s      0.000w     10 calls
| HF: Form D                        :      0.000u      0.000s      0.000w     10 calls
| HF: DIIS                          :      0.000u      0.000s      0.019w      9 calls
| | DIISManager::add_entry          :      0.000u      0.000s      0.003w      9 calls
| | DIISManager::extrapolate        :      0.000u      0.000s      0.003w      9 calls
| | | bMatrix setup                 :      0.000u      0.000s      0.002w      9 calls
| | | bMatrix pseudoinverse         :      0.000u      0.000s      0.000w      9 calls
| | | New vector                    :      0.000u      0.000s      0.001w      9 calls
| HF: Form C                        :      0.000u      0.000s      0.015w      9 calls
SAPT0: DF Integrals                 :      0.000u      0.000s      0.415w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.039w      4 calls
SAPT0: W Integrals                  :      0.000u      0.000s      0.003w      1 calls
SAPT0: Elst10                       :      0.000u      0.000s      0.000w      1 calls
SAPT0: Exch10                       :      0.000u      0.000s      0.008w      1 calls
SAPT0: Exch10 S^2                   :      0.000u      0.000s      0.001w      1 calls
SAPT0: Ind20                        :      0.000u      0.000s      0.269w      1 calls
SAPT0: Exch-Ind20                   :      0.000u      0.000s      0.054w      1 calls
SAPT0: Exch-Disp20 N^5              :      0.000u      0.000s      0.109w      1 calls
SAPT0: Exch-Disp20 N^4              :      0.000u      0.000s      0.242w      1 calls

**************************************************************************************

Host: G5

Timers On : Sat May 13 20:58:41 2023
Timers Off: Sat May 13 20:58:43 2023

Wall Time:        1.84 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: G5

Timers On : Sat May 13 21:00:57 2023
Timers Off: Sat May 13 21:02:38 2023

Wall Time:      101.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
SAPT: Dimer SCF                     :      0.000u      0.000s      3.483w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.353w     11 calls
JK: (A|mn)                          :      0.000u      0.000s      0.277w      1 calls
JK: (A|Q)^-1/2                      :      0.000u      0.000s      0.163w      1 calls
JK: (Q|mn)                          :      0.000u      0.000s      0.147w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.162w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.008w      3 calls
HF: Guess                           :      0.000u      0.000s      0.251w      3 calls
SAD Guess                           :      0.000u      0.000s      0.246w      3 calls
HF: Form G                          :      0.000u      0.000s      3.476w     40 calls
JK: D                               :      0.000u      0.000s      0.001w     40 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     40 calls
JK: JK                              :      0.000u      0.000s      3.469w     40 calls
JK: J                               :      0.000u      0.000s      0.192w     40 calls
JK: J1                              :      0.000u      0.000s      0.097w     40 calls
JK: J2                              :      0.000u      0.000s      0.092w     40 calls
JK: K                               :      0.000u      0.000s      3.131w     40 calls
JK: K1                              :      0.000u      0.000s      2.748w     40 calls
JK: K2                              :      0.000u      0.000s      0.382w     40 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     40 calls
HF: Form F                          :      0.000u      0.000s      0.002w     40 calls
HF: Form D                          :      0.000u      0.000s      0.001w     40 calls
HF: DIIS                            :      0.000u      0.000s      0.167w     37 calls
DIISManager::add_entry              :      0.000u      0.000s      0.064w     37 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.031w     37 calls
bMatrix setup                       :      0.000u      0.000s      0.017w     37 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w     37 calls
New vector                          :      0.000u      0.000s      0.013w     37 calls
HF: Form C                          :      0.000u      0.000s      0.113w     37 calls
SAPT: Monomer A SCF                 :      0.000u      0.000s      2.175w      1 calls
SAPT: Monomer B SCF                 :      0.000u      0.000s      1.837w      1 calls
SAPT0: DF Integrals                 :      0.000u      0.000s      1.588w      1 calls
SAPT0: W Integrals                  :      0.000u      0.000s      0.006w      1 calls
SAPT0: Elst10                       :      0.000u      0.000s      0.001w      1 calls
SAPT0: Exch10                       :      0.000u      0.000s      0.024w      1 calls
SAPT0: Exch10 S^2                   :      0.000u      0.000s      0.002w      1 calls
SAPT0: Ind20                        :      0.000u      0.000s      1.258w      1 calls
SAPT0: Exch-Ind20                   :      0.000u      0.000s      0.065w      1 calls
SAPT0: Exch-Disp20 N^5              :      0.000u      0.000s      0.246w      1 calls
SAPT0: Exch-Disp20 N^4              :      0.000u      0.000s      0.648w      1 calls

--------------------------------------------------------------------------------------
SAPT: Dimer SCF                     :      0.000u      0.000s      3.483w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.106w      2 calls
| JK: (A|mn)                        :      0.000u      0.000s      0.277w      1 calls
| JK: (A|Q)^-1/2                    :      0.000u      0.000s      0.163w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JK: (Q|mn)                        :      0.000u      0.000s      0.147w      1 calls
| HF: Form core H                   :      0.000u      0.000s      0.048w      1 calls
| HF: Form S/X                      :      0.000u      0.000s      0.003w      1 calls
| HF: Guess                         :      0.000u      0.000s      0.108w      1 calls
| | SAD Guess                       :      0.000u      0.000s      0.106w      1 calls
| HF: Form G                        :      0.000u      0.000s      1.478w     16 calls
| | JK: D                           :      0.000u      0.000s      0.001w     16 calls
| | JK: USO2AO                      :      0.000u      0.000s      0.000w     16 calls
| | JK: JK                          :      0.000u      0.000s      1.475w     16 calls
| | | JK: J                         :      0.000u      0.000s      0.074w     16 calls
| | | | JK: J1                      :      0.000u      0.000s      0.038w     16 calls
| | | | JK: J2                      :      0.000u      0.000s      0.034w     16 calls
| | | JK: K                         :      0.000u      0.000s      1.316w     16 calls
| | | | JK: K1                      :      0.000u      0.000s      1.099w     16 calls
| | | | JK: K2                      :      0.000u      0.000s      0.216w     16 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     16 calls
| HF: Form F                        :      0.000u      0.000s      0.001w     16 calls
| HF: Form D                        :      0.000u      0.000s      0.001w     16 calls
| HF: DIIS                          :      0.000u      0.000s      0.046w     15 calls
| | DIISManager::add_entry          :      0.000u      0.000s      0.005w     15 calls
| | DIISManager::extrapolate        :      0.000u      0.000s      0.014w     15 calls
| | | bMatrix setup                 :      0.000u      0.000s      0.007w     15 calls
| | | bMatrix pseudoinverse         :      0.000u      0.000s      0.001w     15 calls
| | | New vector                    :      0.000u      0.000s      0.005w     15 calls
| HF: Form C                        :      0.000u      0.000s      0.047w     15 calls
SAPT: Monomer A SCF                 :      0.000u      0.000s      2.175w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.068w      2 calls
| HF: Form core H                   :      0.000u      0.000s      0.064w      1 calls
| HF: Form S/X                      :      0.000u      0.000s      0.003w      1 calls
| HF: Guess                         :      0.000u      0.000s      0.090w      1 calls
| | SAD Guess                       :      0.000u      0.000s      0.089w      1 calls
| HF: Form G                        :      0.000u      0.000s      1.145w     13 calls
| | JK: D                           :      0.000u      0.000s      0.000w     13 calls
| | JK: USO2AO                      :      0.000u      0.000s      0.000w     13 calls
| | JK: JK                          :      0.000u      0.000s      1.143w     13 calls
| | | JK: J                         :      0.000u      0.000s      0.064w     13 calls
| | | | JK: J1                      :      0.000u      0.000s      0.031w     13 calls
| | | | JK: J2                      :      0.000u      0.000s      0.032w     13 calls
| | | JK: K                         :      0.000u      0.000s      1.034w     13 calls
| | | | JK: K1                      :      0.000u      0.000s      0.905w     13 calls
| | | | JK: K2                      :      0.000u      0.000s      0.129w     13 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     13 calls
| HF: Form F                        :      0.000u      0.000s      0.000w     13 calls
| HF: Form D                        :      0.000u      0.000s      0.000w     13 calls
| HF: DIIS                          :      0.000u      0.000s      0.060w     12 calls
| | DIISManager::add_entry          :      0.000u      0.000s      0.027w     12 calls
| | DIISManager::extrapolate        :      0.000u      0.000s      0.010w     12 calls
| | | bMatrix setup                 :      0.000u      0.000s      0.005w     12 calls
| | | bMatrix pseudoinverse         :      0.000u      0.000s      0.001w     12 calls
| | | New vector                    :      0.000u      0.000s      0.004w     12 calls
| HF: Form C                        :      0.000u      0.000s      0.034w     12 calls
SAPT: Monomer B SCF                 :      0.000u      0.000s      1.837w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.106w      2 calls
| HF: Form core H                   :      0.000u      0.000s      0.050w      1 calls
| HF: Form S/X                      :      0.000u      0.000s      0.003w      1 calls
| HF: Guess                         :      0.000u      0.000s      0.053w      1 calls
| | SAD Guess                       :      0.000u      0.000s      0.052w      1 calls
| HF: Form G                        :      0.000u      0.000s      0.854w     11 calls
| | JK: D                           :      0.000u      0.000s      0.000w     11 calls
| | JK: USO2AO                      :      0.000u      0.000s      0.000w     11 calls
| | JK: JK                          :      0.000u      0.000s      0.852w     11 calls
| | | JK: J                         :      0.000u      0.000s      0.054w     11 calls
| | | | JK: J1                      :      0.000u      0.000s      0.028w     11 calls
| | | | JK: J2                      :      0.000u      0.000s      0.025w     11 calls
| | | JK: K                         :      0.000u      0.000s      0.781w     11 calls
| | | | JK: K1                      :      0.000u      0.000s      0.744w     11 calls
| | | | JK: K2                      :      0.000u      0.000s      0.037w     11 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     11 calls
| HF: Form F                        :      0.000u      0.000s      0.000w     11 calls
| HF: Form D                        :      0.000u      0.000s      0.000w     11 calls
| HF: DIIS                          :      0.000u      0.000s      0.061w     10 calls
| | DIISManager::add_entry          :      0.000u      0.000s      0.033w     10 calls
| | DIISManager::extrapolate        :      0.000u      0.000s      0.008w     10 calls
| | | bMatrix setup                 :      0.000u      0.000s      0.004w     10 calls
| | | bMatrix pseudoinverse         :      0.000u      0.000s      0.000w     10 calls
| | | New vector                    :      0.000u      0.000s      0.003w     10 calls
| HF: Form C                        :      0.000u      0.000s      0.032w     10 calls
SAPT0: DF Integrals                 :      0.000u      0.000s      1.588w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.073w      4 calls
SAPT0: W Integrals                  :      0.000u      0.000s      0.006w      1 calls
SAPT0: Elst10                       :      0.000u      0.000s      0.001w      1 calls
SAPT0: Exch10                       :      0.000u      0.000s      0.024w      1 calls
SAPT0: Exch10 S^2                   :      0.000u      0.000s      0.002w      1 calls
SAPT0: Ind20                        :      0.000u      0.000s      1.258w      1 calls
SAPT0: Exch-Ind20                   :      0.000u      0.000s      0.065w      1 calls
SAPT0: Exch-Disp20 N^5              :      0.000u      0.000s      0.246w      1 calls
SAPT0: Exch-Disp20 N^4              :      0.000u      0.000s      0.648w      1 calls

**************************************************************************************

Host: G5

Timers On : Sat May 13 21:06:26 2023
Timers Off: Sat May 13 21:06:27 2023

Wall Time:        1.31 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: G5

Timers On : Sat May 13 21:06:52 2023
Timers Off: Sat May 13 21:08:35 2023

Wall Time:      103.75 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
SAPT: Dimer SCF                     :      0.000u      0.000s     26.539w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      3.796w     11 calls
JK: (A|mn)                          :      0.000u      0.000s      1.465w      1 calls
JK: (A|Q)^-1/2                      :      0.000u      0.000s      0.454w      1 calls
JK: (Q|mn)                          :      0.000u      0.000s      1.210w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.990w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.031w      3 calls
HF: Guess                           :      0.000u      0.000s      0.435w      3 calls
SAD Guess                           :      0.000u      0.000s      0.430w      3 calls
HF: Form G                          :      0.000u      0.000s     38.851w     44 calls
JK: D                               :      0.000u      0.000s      0.005w     44 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     44 calls
JK: JK                              :      0.000u      0.000s     38.834w     44 calls
JK: J                               :      0.000u      0.000s      0.876w     44 calls
JK: J1                              :      0.000u      0.000s      0.432w     44 calls
JK: J2                              :      0.000u      0.000s      0.437w     44 calls
JK: K                               :      0.000u      0.000s     37.176w     44 calls
JK: K1                              :      0.000u      0.000s     33.342w     44 calls
JK: K2                              :      0.000u      0.000s      3.833w     44 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     44 calls
HF: Form F                          :      0.000u      0.000s      0.004w     44 calls
HF: Form D                          :      0.000u      0.000s      0.005w     44 calls
HF: DIIS                            :      0.000u      0.000s      0.373w     41 calls
DIISManager::add_entry              :      0.000u      0.000s      0.137w     41 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.093w     41 calls
bMatrix setup                       :      0.000u      0.000s      0.051w     41 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w     41 calls
New vector                          :      0.000u      0.000s      0.040w     41 calls
HF: Form C                          :      0.000u      0.000s      0.309w     41 calls
SAPT: Monomer A SCF                 :      0.000u      0.000s     12.117w      1 calls
SAPT: Monomer B SCF                 :      0.000u      0.000s     12.684w      1 calls
SAPT0: DF Integrals                 :      0.000u      0.000s      9.328w      1 calls
SAPT0: W Integrals                  :      0.000u      0.000s      0.079w      1 calls
SAPT0: Elst10                       :      0.000u      0.000s      0.009w      1 calls
SAPT0: Exch10                       :      0.000u      0.000s      0.152w      1 calls
SAPT0: Exch10 S^2                   :      0.000u      0.000s      0.026w      1 calls
