
Host: G5

Timers On : Mon Jun  3 21:13:00 2024
Timers Off: Mon Jun  3 21:13:20 2024

Wall Time:       19.94 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.036w     60 calls
DFH: initialize()                   :      0.000u      0.000s      1.059w     20 calls
DFH: AO Construction                :      0.000u      0.000s      0.086w     20 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.012w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.164w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     20 calls
HF: Guess                           :      0.000u      0.000s      1.105w     20 calls
SAD Guess                           :      0.000u      0.000s      1.082w     20 calls
HF: Form G                          :      0.000u      0.000s      0.094w    423 calls
JK: D                               :      0.000u      0.000s      0.004w    423 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    423 calls
JK: JK                              :      0.000u      0.000s      0.081w    423 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.080w    423 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    423 calls
DFH: compute_J                      :      0.000u      0.000s      0.022w    423 calls
DFH: compute_K                      :      0.000u      0.000s      0.047w    423 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    423 calls
HF: Form F                          :      0.000u      0.000s      0.005w    423 calls
HF: Form D                          :      0.000u      0.000s      0.003w    423 calls
HF: DIIS                            :      0.000u      0.000s      2.320w    403 calls
HF: Form C                          :      0.000u      0.000s      0.229w    403 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.041w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.015w     20 calls
DFH: initialize()                   :      0.000u      0.000s      1.059w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.021w     40 calls
| DFH: AO Construction              :      0.000u      0.000s      0.086w     20 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.012w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.164w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     20 calls
HF: Guess                           :      0.000u      0.000s      1.105w     20 calls
| SAD Guess                         :      0.000u      0.000s      1.082w     20 calls
HF: Form G                          :      0.000u      0.000s      0.094w    423 calls
| JK: D                             :      0.000u      0.000s      0.004w    423 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    423 calls
| JK: JK                            :      0.000u      0.000s      0.081w    423 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.080w    423 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    423 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.022w    423 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.047w    423 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    423 calls
HF: Form F                          :      0.000u      0.000s      0.005w    423 calls
HF: Form D                          :      0.000u      0.000s      0.003w    423 calls
HF: DIIS                            :      0.000u      0.000s      2.320w    403 calls
HF: Form C                          :      0.000u      0.000s      0.229w    403 calls

**************************************************************************************

Host: G5

Timers On : Mon Jun  3 21:14:05 2024
Timers Off: Mon Jun  3 21:14:25 2024

Wall Time:       20.29 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.047w     20 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.044w     60 calls
DFH: initialize()                   :      0.000u      0.000s      0.896w     20 calls
DFH: AO Construction                :      0.000u      0.000s      0.107w     20 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.015w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.479w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     20 calls
HF: Guess                           :      0.000u      0.000s      1.122w     20 calls
SAD Guess                           :      0.000u      0.000s      1.099w     20 calls
HF: Form G                          :      0.000u      0.000s      0.038w    147 calls
JK: D                               :      0.000u      0.000s      0.002w    147 calls
JK: USO2AO                          :      0.000u      0.000s      0.004w    147 calls
JK: JK                              :      0.000u      0.000s      0.028w    147 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.028w    147 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    147 calls
DFH: compute_J                      :      0.000u      0.000s      0.008w    147 calls
DFH: compute_K                      :      0.000u      0.000s      0.016w    147 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    147 calls
HF: Form F                          :      0.000u      0.000s      0.002w    147 calls
HF: Form D                          :      0.000u      0.000s      0.001w    147 calls
HF: DIIS                            :      0.000u      0.000s      0.668w    127 calls
HF: Form C                          :      0.000u      0.000s      0.070w    127 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.047w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.018w     20 calls
DFH: initialize()                   :      0.000u      0.000s      0.896w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.025w     40 calls
| DFH: AO Construction              :      0.000u      0.000s      0.107w     20 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.015w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.479w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     20 calls
HF: Guess                           :      0.000u      0.000s      1.122w     20 calls
| SAD Guess                         :      0.000u      0.000s      1.099w     20 calls
HF: Form G                          :      0.000u      0.000s      0.038w    147 calls
| JK: D                             :      0.000u      0.000s      0.002w    147 calls
| JK: USO2AO                        :      0.000u      0.000s      0.004w    147 calls
| JK: JK                            :      0.000u      0.000s      0.028w    147 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.028w    147 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    147 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.008w    147 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.016w    147 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    147 calls
HF: Form F                          :      0.000u      0.000s      0.002w    147 calls
HF: Form D                          :      0.000u      0.000s      0.001w    147 calls
HF: DIIS                            :      0.000u      0.000s      0.668w    127 calls
HF: Form C                          :      0.000u      0.000s      0.070w    127 calls

**************************************************************************************

Host: G5

Timers On : Mon Jun  3 21:14:28 2024
Timers Off: Mon Jun  3 21:17:29 2024

Wall Time:      180.47 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.037w     20 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.036w     60 calls
DFH: initialize()                   :      0.000u      0.000s      0.714w     20 calls
DFH: AO Construction                :      0.000u      0.000s      0.077w     20 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.011w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.149w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w     20 calls
HF: Guess                           :      0.000u      0.000s      0.889w     20 calls
SAD Guess                           :      0.000u      0.000s      0.870w     20 calls
HF: Form G                          :      0.000u      0.000s      0.062w    335 calls
JK: D                               :      0.000u      0.000s      0.002w    335 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    335 calls
JK: JK                              :      0.000u      0.000s      0.055w    335 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.054w    335 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    335 calls
DFH: compute_J                      :      0.000u      0.000s      0.014w    335 calls
DFH: compute_K                      :      0.000u      0.000s      0.033w    335 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    335 calls
HF: Form F                          :      0.000u      0.000s      0.003w    335 calls
HF: Form D                          :      0.000u      0.000s      0.002w    335 calls
HF: DIIS                            :      0.000u      0.000s      1.374w    315 calls
HF: Form C                          :      0.000u      0.000s      0.150w    315 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.037w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.014w     20 calls
DFH: initialize()                   :      0.000u      0.000s      0.714w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.021w     40 calls
| DFH: AO Construction              :      0.000u      0.000s      0.077w     20 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.011w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.149w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w     20 calls
HF: Guess                           :      0.000u      0.000s      0.889w     20 calls
| SAD Guess                         :      0.000u      0.000s      0.870w     20 calls
HF: Form G                          :      0.000u      0.000s      0.062w    335 calls
| JK: D                             :      0.000u      0.000s      0.002w    335 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    335 calls
| JK: JK                            :      0.000u      0.000s      0.055w    335 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.054w    335 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    335 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.014w    335 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.033w    335 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    335 calls
HF: Form F                          :      0.000u      0.000s      0.003w    335 calls
HF: Form D                          :      0.000u      0.000s      0.002w    335 calls
HF: DIIS                            :      0.000u      0.000s      1.374w    315 calls
HF: Form C                          :      0.000u      0.000s      0.150w    315 calls

**************************************************************************************

Host: G5

Timers On : Mon Jun  3 21:17:33 2024
Timers Off: Mon Jun  3 21:18:08 2024

Wall Time:       34.92 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.036w     20 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.033w     60 calls
DFH: initialize()                   :      0.000u      0.000s      0.861w     20 calls
DFH: AO Construction                :      0.000u      0.000s      0.078w     20 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.011w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.426w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     20 calls
HF: Guess                           :      0.000u      0.000s      1.116w     20 calls
SAD Guess                           :      0.000u      0.000s      1.096w     20 calls
HF: Form G                          :      0.000u      0.000s      0.056w    272 calls
JK: D                               :      0.000u      0.000s      0.002w    272 calls
JK: USO2AO                          :      0.000u      0.000s      0.005w    272 calls
JK: JK                              :      0.000u      0.000s      0.044w    272 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.044w    272 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    272 calls
DFH: compute_J                      :      0.000u      0.000s      0.011w    272 calls
DFH: compute_K                      :      0.000u      0.000s      0.027w    272 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    272 calls
HF: Form F                          :      0.000u      0.000s      0.002w    272 calls
HF: Form D                          :      0.000u      0.000s      0.002w    272 calls
HF: DIIS                            :      0.000u      0.000s      1.254w    252 calls
HF: Form C                          :      0.000u      0.000s      0.119w    252 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.036w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.014w     20 calls
DFH: initialize()                   :      0.000u      0.000s      0.861w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.019w     40 calls
| DFH: AO Construction              :      0.000u      0.000s      0.078w     20 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.011w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.426w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     20 calls
HF: Guess                           :      0.000u      0.000s      1.116w     20 calls
| SAD Guess                         :      0.000u      0.000s      1.096w     20 calls
HF: Form G                          :      0.000u      0.000s      0.056w    272 calls
| JK: D                             :      0.000u      0.000s      0.002w    272 calls
| JK: USO2AO                        :      0.000u      0.000s      0.005w    272 calls
| JK: JK                            :      0.000u      0.000s      0.044w    272 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.044w    272 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    272 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.011w    272 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.027w    272 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    272 calls
HF: Form F                          :      0.000u      0.000s      0.002w    272 calls
HF: Form D                          :      0.000u      0.000s      0.002w    272 calls
HF: DIIS                            :      0.000u      0.000s      1.254w    252 calls
HF: Form C                          :      0.000u      0.000s      0.119w    252 calls

**************************************************************************************

Host: G5

Timers On : Mon Jun  3 21:18:10 2024
Timers Off: Mon Jun  3 21:19:13 2024

Wall Time:       62.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.037w     20 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.035w     60 calls
DFH: initialize()                   :      0.000u      0.000s      1.163w     20 calls
DFH: AO Construction                :      0.000u      0.000s      0.087w     20 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.011w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.041w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w     20 calls
HF: Guess                           :      0.000u      0.000s      0.700w     20 calls
SAD Guess                           :      0.000u      0.000s      0.680w     20 calls
HF: Form G                          :      0.000u      0.000s      0.056w    272 calls
JK: D                               :      0.000u      0.000s      0.002w    272 calls
JK: USO2AO                          :      0.000u      0.000s      0.004w    272 calls
JK: JK                              :      0.000u      0.000s      0.044w    272 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.043w    272 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    272 calls
DFH: compute_J                      :      0.000u      0.000s      0.011w    272 calls
DFH: compute_K                      :      0.000u      0.000s      0.027w    272 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    272 calls
HF: Form F                          :      0.000u      0.000s      0.002w    272 calls
HF: Form D                          :      0.000u      0.000s      0.002w    272 calls
HF: DIIS                            :      0.000u      0.000s      1.193w    252 calls
HF: Form C                          :      0.000u      0.000s      0.117w    252 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.037w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.015w     20 calls
DFH: initialize()                   :      0.000u      0.000s      1.163w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.019w     40 calls
| DFH: AO Construction              :      0.000u      0.000s      0.087w     20 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.011w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.041w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w     20 calls
HF: Guess                           :      0.000u      0.000s      0.700w     20 calls
| SAD Guess                         :      0.000u      0.000s      0.680w     20 calls
HF: Form G                          :      0.000u      0.000s      0.056w    272 calls
| JK: D                             :      0.000u      0.000s      0.002w    272 calls
| JK: USO2AO                        :      0.000u      0.000s      0.004w    272 calls
| JK: JK                            :      0.000u      0.000s      0.044w    272 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.043w    272 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    272 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.011w    272 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.027w    272 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    272 calls
HF: Form F                          :      0.000u      0.000s      0.002w    272 calls
HF: Form D                          :      0.000u      0.000s      0.002w    272 calls
HF: DIIS                            :      0.000u      0.000s      1.193w    252 calls
HF: Form C                          :      0.000u      0.000s      0.117w    252 calls

**************************************************************************************

Host: G5

Timers On : Mon Jun  3 21:19:15 2024
Timers Off: Mon Jun  3 21:19:33 2024

Wall Time:       18.26 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.040w     20 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.036w     60 calls
DFH: initialize()                   :      0.000u      0.000s      0.653w     20 calls
DFH: AO Construction                :      0.000u      0.000s      0.084w     20 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.012w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.140w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     20 calls
HF: Guess                           :      0.000u      0.000s      0.958w     20 calls
SAD Guess                           :      0.000u      0.000s      0.938w     20 calls
HF: Form G                          :      0.000u      0.000s      0.033w    155 calls
JK: D                               :      0.000u      0.000s      0.001w    155 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    155 calls
JK: JK                              :      0.000u      0.000s      0.026w    155 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.026w    155 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    155 calls
DFH: compute_J                      :      0.000u      0.000s      0.006w    155 calls
DFH: compute_K                      :      0.000u      0.000s      0.016w    155 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    155 calls
HF: Form F                          :      0.000u      0.000s      0.001w    155 calls
HF: Form D                          :      0.000u      0.000s      0.001w    155 calls
HF: DIIS                            :      0.000u      0.000s      0.620w    135 calls
HF: Form C                          :      0.000u      0.000s      0.064w    135 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.040w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.015w     20 calls
DFH: initialize()                   :      0.000u      0.000s      0.653w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.020w     40 calls
| DFH: AO Construction              :      0.000u      0.000s      0.084w     20 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.012w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.140w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     20 calls
HF: Guess                           :      0.000u      0.000s      0.958w     20 calls
| SAD Guess                         :      0.000u      0.000s      0.938w     20 calls
HF: Form G                          :      0.000u      0.000s      0.033w    155 calls
| JK: D                             :      0.000u      0.000s      0.001w    155 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w    155 calls
| JK: JK                            :      0.000u      0.000s      0.026w    155 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.026w    155 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    155 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.006w    155 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.016w    155 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    155 calls
HF: Form F                          :      0.000u      0.000s      0.001w    155 calls
HF: Form D                          :      0.000u      0.000s      0.001w    155 calls
HF: DIIS                            :      0.000u      0.000s      0.620w    135 calls
HF: Form C                          :      0.000u      0.000s      0.064w    135 calls

**************************************************************************************

Host: G5

Timers On : Mon Jun  3 21:19:35 2024
Timers Off: Mon Jun  3 21:19:47 2024

Wall Time:       11.69 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.030w     16 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.027w     48 calls
DFH: initialize()                   :      0.000u      0.000s      0.488w     16 calls
DFH: AO Construction                :      0.000u      0.000s      0.061w     16 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.009w     16 calls
HF: Form core H                     :      0.000u      0.000s      0.094w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w     16 calls
HF: Guess                           :      0.000u      0.000s      0.756w     16 calls
SAD Guess                           :      0.000u      0.000s      0.741w     16 calls
HF: Form G                          :      0.000u      0.000s      0.062w    334 calls
JK: D                               :      0.000u      0.000s      0.002w    334 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    334 calls
JK: JK                              :      0.000u      0.000s      0.055w    334 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.055w    334 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    334 calls
DFH: compute_J                      :      0.000u      0.000s      0.014w    334 calls
DFH: compute_K                      :      0.000u      0.000s      0.033w    334 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    334 calls
HF: Form F                          :      0.000u      0.000s      0.003w    334 calls
HF: Form D                          :      0.000u      0.000s      0.002w    334 calls
HF: DIIS                            :      0.000u      0.000s      1.590w    318 calls
HF: Form C                          :      0.000u      0.000s      0.154w    318 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.030w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.011w     16 calls
DFH: initialize()                   :      0.000u      0.000s      0.488w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.015w     32 calls
| DFH: AO Construction              :      0.000u      0.000s      0.061w     16 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.009w     16 calls
HF: Form core H                     :      0.000u      0.000s      0.094w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w     16 calls
HF: Guess                           :      0.000u      0.000s      0.756w     16 calls
| SAD Guess                         :      0.000u      0.000s      0.741w     16 calls
HF: Form G                          :      0.000u      0.000s      0.062w    334 calls
